chr	start	end	ID	coord
1	248718649	248755739	ENSG00000259823	1:248718649-248755739
2	94588522	94604573	ENSG00000259916	2:94588522-94604573
3	51391268	51397908	ENSG00000259956	3:51391268-51397908
7	102347206	102356444	ENSG00000260097	7:102347206-102356444
9	136280942	136306901	ENSG00000260220	9:136280942-136306901
17	36323884	36334759	ENSG00000260287	17:36323884-36334759
10	17809344	17911170	ENSG00000260314	10:17809344-17911170
17	42121431	42123352	ENSG00000260325	17:42121431-42123352
8	144266560	144268481	ENSG00000260428	8:144266560-144268481
17	21692523	21704612	ENSG00000260458	17:21692523-21704612
4	190173774	190185942	ENSG00000260596	4:190173774-190185942
9	67859147	67902094	ENSG00000260691	9:67859147-67902094
8	143857324	143878464	ENSG00000261150	8:143857324-143878464
8	144262102	144291370	ENSG00000261236	8:144262102-144291370
17	64319415	64413776	ENSG00000261371	17:64319415-64413776
10	46892	74163	ENSG00000261456	10:46892-74163
8	144352219	144354914	ENSG00000261587	8:144352219-144354914
8	144330565	144336281	ENSG00000261678	8:144330565-144336281
11	102862736	102875034	ENSG00000262406	11:102862736-102875034
7	73076165	73086038	ENSG00000262461	7:73076165-73086038
11	13962689	14267884	ENSG00000262655	11:13962689-14267884
X	153587919	153600045	ENSG00000262919	X:153587919-153600045
7	74657667	74760692	ENSG00000263001	7:74657667-74760692
1	120889746	120890405	ENSG00000263353	1:120889746-120890405
1	149583865	149584464	ENSG00000263464	1:149583865-149584464
11	95067197	95071224	ENSG00000263465	11:95067197-95071224
1	143955364	143971965	ENSG00000263513	1:143955364-143971965
1	206470476	206496889	ENSG00000263528	1:206470476-206496889
10	46033307	46046269	ENSG00000263639	10:46033307-46046269
10	47322490	47326270	ENSG00000263761	10:47322490-47326270
1	148102046	148152322	ENSG00000263956	1:148102046-148152322
1	206037231	206102459	ENSG00000263961	1:206037231-206102459
10	5154143	5185187	ENSG00000264006	10:5154143-5185187
10	46375627	46537864	ENSG00000264230	10:46375627-46537864
1	146146203	146229026	ENSG00000264343	1:146146203-146229026
1	149937812	150010676	ENSG00000264522	1:149937812-150010676
10	47918739	47923524	ENSG00000264717	10:47918739-47923524
1	147756199	147773362	ENSG00000265107	1:147756199-147773362
10	47460162	47484158	ENSG00000265190	10:47460162-47484158
10	47348371	47357875	ENSG00000265203	10:47348371-47357875
1	145917714	145927678	ENSG00000265241	1:145917714-145927678
10	45972449	46003734	ENSG00000265354	10:45972449-46003734
1	145738868	145824077	ENSG00000265491	1:145738868-145824077
10	47365496	47384273	ENSG00000265763	10:47365496-47384273
1	120150898	120176515	ENSG00000265808	1:120150898-120176515
1	145992435	145996600	ENSG00000265972	1:145992435-145996600
1	206203345	206464443	ENSG00000266028	1:206203345-206464443
17	81395475	81466332	ENSG00000266074	17:81395475-81466332
1	206507530	206589448	ENSG00000266094	1:206507530-206589448
10	116620953	116645143	ENSG00000266200	10:116620953-116645143
7	130731235	130734061	ENSG00000266265	7:130731235-130734061
1	144421386	144461674	ENSG00000266338	1:144421386-144461674
10	46005088	46030714	ENSG00000266412	10:46005088-46030714
1	150293720	150308979	ENSG00000266472	1:150293720-150308979
10	47300386	47313547	ENSG00000266524	10:47300386-47313547
X	149581653	149587453	ENSG00000267978	X:149581653-149587453
X	48383516	48393347	ENSG00000268009	X:48383516-48393347
1	146938744	146996202	ENSG00000268043	1:146938744-146996202
X	152638183	152657534	ENSG00000268089	X:152638183-152657534
